region,datetime,pm25,prev_pm25,next_pm25,rate_of_change
Charlotte-1224494,2025-01-01T01:00:00-05:00,3.12,,3.12,
Charlotte-1224494,2025-01-01T02:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T03:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T04:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T05:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T06:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T07:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T08:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T09:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T10:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T11:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T12:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T13:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T14:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T15:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T16:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T17:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T18:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T19:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T20:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T21:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T22:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-01T23:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T00:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T01:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T02:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T03:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T04:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T05:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T06:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T07:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T08:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T09:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T10:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T11:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T12:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T13:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T14:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T15:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T16:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T17:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T18:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T19:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T20:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T21:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T22:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-02T23:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T00:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T01:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T02:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T03:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T04:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T05:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T06:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T07:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T08:00:00-05:00,3.12,3.12,3.12,0.0
Charlotte-1224494,2025-01-03T09:00:00-05:00,3.12,3.12,3.12,0.0
